"Lake","Gear","Set","Lat","Lon","Date","Species","Fork_length","Weight","Sex","Mark","Floy","PIT","Recap","cap_label","Fish_notes","event_num","lake_combined","stat","grouping","corrected_length","class","year_cap","year_recap"
"Lower","ANG",108,63.13711,-145.96307,2023-06-21,"LT","470",NA,NA,"Gray Floy 18619; PIT 13OD","18619","130D",NA,"n1","Gear = Bait",2,"Lower","n1","n1",470,NA,NA,NA
"Lower","ANG",62,63.13822,-145.95952,2023-06-20,"LT","490",1814,NA,"Gray Floy 18638; PIT 1346","18638","1346",NA,"n1","Gear = Bait",2,"Lower","n1","n1",490,NA,NA,NA
"Lower","ANG",64,63.13705,-145.9551,2023-06-20,"LT","495",NA,NA,"Gray Floy 18649; PIT 132O","18649","132O",NA,"n1","Gear = Bait",2,"Lower","n1","n1",495,NA,NA,NA
"Lower","ANG",111,63.13622,-145.95575,2023-06-21,"LT","499",1588,NA,"Gray Floy 18613; PIT 13OA","18613","13OA",NA,"n1","Gear = Bait",2,"Lower","n1","n1",499,NA,NA,NA
"Lower","ANG",114,63.13711,-145.96307,2023-06-21,"LT","505",1134,NA,"Gray Floy 18611; PIT 13O6","18611","1306",NA,"n1","Gear = Bait",2,"Lower","n1","n1",505,NA,NA,NA
"Lower","ANG",71,63.1374,-145.95386,2023-06-20,"LT","538",2268,NA,"Gray Floy 18639; PIT 13O9","18639","13O9",NA,"n1","Gear = Bait",2,"Lower","n1","n1",538,NA,NA,NA
"Lower","ANG",75,63.13765,-145.96248,2023-06-20,"LT","544",2041,NA,"Gray Floy 18634; PIT 131F","18634","131F",NA,"n1","Gear = Bait",2,"Lower","n1","n1",544,NA,NA,NA
"Lower","ANG",78,63.13815,-145.96012,2023-06-20,"LT","553",2268,NA,"Gray Floy 18646; PIT 13OF","18646","13OF",NA,"n1","Gear = Bait",2,"Lower","n1","n1",553,NA,NA,NA
"Lower","ANG",123,63.13888,-145.95488,2023-06-21,"LT","554",2608,NA,"Gray Floy 18621; PIT 12FC","18621","12FC",NA,"n1","Gear = Bait",2,"Lower","n1","n1",554,NA,NA,NA
"Lower","ANG",124,63.13711,-145.96307,2023-06-21,"LT","555",2268,NA,"Gray Floy 18605; PIT 12FB","18605","12FB",NA,"n1","Gear = Bait",2,"Lower","n1","n1",555,NA,NA,NA
"Lower","ANG",126,63.135,-145.95806,2023-06-21,"LT","561",1474,NA,"Gray Floy 18624; PIT 1307","18624","1307",NA,"n1","Gear = Bait",2,"Lower","n1","n1",561,NA,NA,NA
"Lower","ANG",80,63.14458,-145.95581,2023-06-20,"LT","563",2608,NA,"Gray Floy 18604; PIT 138O","18604","138O",NA,"n1","Gear = Bait",2,"Lower","n1","n1",563,NA,NA,NA
"Lower","ANG",83,63.13749,-145.95379,2023-06-20,"LT","566",2268,NA,"Gray Floy 18642; PIT 13OC","18642","13OC",NA,"n1","Gear = Bait",2,"Lower","n1","n1",566,NA,NA,NA
"Lower","ANG",85,63.13683,-145.95427,2023-06-20,"LT","578",2722,NA,"Gray Floy 18644; PIT 12F4","18644","12F4",NA,"n1","Gear = Bait",2,"Lower","n1","n1",578,NA,NA,NA
"Lower","ANG",127,63.13711,-145.96307,2023-06-21,"LT","580",2835,NA,"Gray Floy 18606; PIT 12F2","18606","12F2",NA,"n1","Gear = Bait",2,"Lower","n1","n1",580,NA,NA,NA
"Lower","ANG",130,63.1337,-145.96215,2023-06-21,"LT","606",3175,NA,"Gray Floy 18618; PIT 12F3","18618","12F3",NA,"n1","Gear = Bait",2,"Lower","n1","n1",606,NA,NA,NA
"Lower","ANG",132,63.13888,-145.95488,2023-06-21,"LT","630",4082,NA,"Gray Floy 18620; PIT 1315","18620","1315",NA,"n1","Gear = Bait",2,"Lower","n1","n1",630,NA,NA,NA
"Lower","ANG",90,63.13736,-145.96314,2023-06-20,"LT","631",3969,NA,"Gray Floy 18640; PIT 133B","18640","133B",NA,"n1","Gear = Bait",2,"Lower","n1","n1",631,NA,NA,NA
"Lower","ANG",92,63.14458,-145.95581,2023-06-20,"LT","640",3742,NA,"Gray Floy 18602; PIT 1318","18602","1318",NA,"n1","Gear = Bait",2,"Lower","n1","n1",640,NA,NA,NA
"Lower","ANG",94,63.13814,-145.9601,2023-06-20,"LT","660",5216,NA,"Gray Floy 18650; PIT 13O4","18650","1304",NA,"n1","Gear = Bait",2,"Lower","n1","n1",660,NA,NA,NA
"Lower","ANG",97,63.13822,-145.95952,2023-06-20,"LT","712",5897,NA,"Gray Floy 18637; PIT 132A","18637","132A",NA,"n1","Gear = Bait",2,"Lower","n1","n1",712,NA,NA,NA
"Round","ANG",40,63.06056,-145.98674,2023-06-22,"LT","340",NA,NA,"Gray Floy 18653; PIT 852B","18653","852B",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",340,NA,NA,NA
"Shallow","ANG",57,63.08064,-145.95654,2023-06-18,"LT","319",454,NA,"Gray Floy 18516; PIT 1348","18516","1348",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",319,NA,NA,NA
"Shallow","ANG",56,63.07738,-145.95704,2023-06-18,"LT","400",907,NA,"Gray Floy 18515; PIT 132C","18515","132C",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",400,NA,NA,NA
"Shallow","ANG",52,63.0769,-145.9619,2023-06-18,"LT","423",907,NA,"Gray Floy 18511; PIT 1328","18511","1328",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",423,NA,NA,NA
"Shallow","ANG",48,63.07574,-145.96421,2023-06-18,"LT","442",1134,NA,"Gray Floy 18507; PIT 1324","18507","1324",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",442,NA,NA,NA
"Shallow","ANG",47,63.07698,-145.96744,2023-06-18,"LT","456",907,NA,"Gray Floy 18506; PIT 1341","18506","1341",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",456,NA,NA,NA
"Shallow","ANG",25,63.07587,-145.96462,2023-06-17,"LT","535",1814,NA,"Gray Floy 18549; PIT 1319","18549","1319",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",535,NA,NA,NA
"Shallow","ANG",53,63.0769,-145.9619,2023-06-18,"LT","542",1814,NA,"Gray Floy 18512; PIT 1333","18512","1333",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",542,NA,NA,NA
"Shallow","ANG",2,63.07353,-145.95738,2023-06-16,"LT","635",3856,NA,"Gray Floy 18527; PIT 1334","18527","1334",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",635,NA,NA,NA
"Shallow","ANG",26,63.07742,-145.96724,2023-06-17,"LT","674",3856,NA,"Gray Floy 18550; PIT 1323","18550","1323",NA,"n1","Gear = Bait",2,"Shallow_Round","n1","n1",674,NA,NA,NA
"Lower","OTH",95,63.1383,-145.96051,2023-06-20,"LT","679",5330,NA,"Gray Floy 18632; PIT 131O","18632","131O",NA,"n1","Gear = Baited Hookless Jug Line",2,"Lower","n1","n1",679,NA,NA,NA
"Lower","OTH",137,63.13338,-145.95804,2023-06-21,"LT","750",6350,NA,"Gray Floy 18625; PIT 131B","18625","131B",NA,"n1","Gear = Baited Hookless Jug Line",2,"Lower","n1","n1",750,NA,NA,NA
"Shallow","OTH",50,63.07033,-145.9694,2023-06-18,"LT","505",1814,NA,"Gray Floy 18509; PIT 1313","18509","1313",NA,"n1","Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",505,NA,NA,NA
"Shallow","OTH",33,63.07592,-145.96394,2023-06-18,"LT","585",3062,NA,"Gray Floy 18062; PIT OC3O","18062","OC3O",NA,"n1","Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",585,NA,NA,NA
"Shallow","OTH",81,63.07018,-145.96251,2023-06-20,"LT","600",2948,NA,"Gray Floy 19866; PIT 8595","19866","8595",NA,"n1","Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",600,NA,NA,NA
"Shallow","OTH",79,63.07578,-145.96246,2023-06-20,"LT","655",3856,NA,"Gray Floy 19864; PIT 8578","19864","8578",NA,"n1","Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",655,NA,NA,NA
"Shallow","OTH",22,63.07401,-145.96807,2023-06-17,"LT","658",4082,NA,"Gray Floy 18546; PIT 12F6","18546","12F6",NA,"n1","Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",658,NA,NA,NA
